Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level
ELEC,Main Street Hardware,4420 Railway Ave,,Vermilion,AB,T9X 1G1,,780-853-4453  780-853-2861,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,53.350693,-110.835833,2022-04-13,83922,2022-06-07 13:03:30 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,5710 40th Ave,,Wetaskiwin,AB,T9A 2B2,,780-352-5910,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,52.959878,-113.394014,2022-04-13,83925,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,10211 100 St,,Westlock,AB,T7P 2G5,,780-349-3345,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,54.151088,-113.852204,2022-04-13,83926,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,5338 50th Ave,,Vegreville,AB,T9C 1M3,,780-632-6707,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,53.498559,-112.062161,2022-04-13,83927,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,300 Edgefield Pl,,Strathmore,AB,T1P 0E9,,403-934-4915,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,51.0380370519,-113.37476296,2022-04-13,83928,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,6690 50th Ave,,Stettler,AB,T0C 2L2,,403-742-5600,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,52.325027,-112.734922,2022-04-13,83929,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,161 Century Crossing,,Spruce Grove,AB,T7K 0M9,,780-948-9881,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,53.542309,-113.873683,2022-04-13,83931,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,5127 50th St,,Rocky Mountain House,AB,T4T 1G7,,403-845-7192,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,52.377098,-114.918778,2022-04-13,83932,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,2410 50 Ave,,Red Deer,AB,T4R 1M3,,403-346-6402,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,52.242732,-113.815179,2022-04-13,83933,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,7700 99 Ave,,Peace River,AB,T8S 2A2,,780-624-1520,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,56.23328996,-117.31552805,2022-04-13,83934,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,64 Carry Dr SE,,Medicine Hat,AB,T1B 4E1,,403-526-8198,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,50.005923,-110.648279,2022-04-13,83935,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,7802 44th St,,Lloydminster,AB,T9V 3B1,,780-875-5589,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,53.278471,-110.059243,2022-04-13,83936,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,33 Southgate Blvd S,,Lethbridge,AB,T1K 2R6,,403-328-6326,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,49.661248,-112.792671,2022-04-13,83937,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,5301 Discovery Way,,Leduc,AB,T9E 8N4,,780-980-1800,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,53.265794,-113.568558,2022-04-13,83938,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,5230 45th St,Located in the front corner,Lacombe,AB,T4L 2A1,,403-782-5657,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,52.467092,-113.724817,2022-04-13,83939,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,SituÃ© au coin avant,Accessible 24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,9902 120th St,,Grand Prairie,AB,T8W 0C7,,780-532-1712,E,,Public,Store hours only; 2 hour limit,,,,,,1,,,Non-Networked,,200-9,55.169699,-118.859863,2022-04-13,83940,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,Heures d'ouverture uniquement; Accessible 24 heures par jour; Limite de 2 heures,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Peavey Mart,4815 66 St,,Camrose,AB,T4V 4M7,,780-672-5116,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,53.019296,-112.854188,2022-04-13,83941,2022-09-01 20:05:57 UTC,P,,,2017-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Petro-Canada,283188 Range Rd 293,,Rocky View County,AB,T0M 0S0,,403-946-4354  403-561-7206,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,51.413889999999995,-114.0004023785736,2021-06-07,83959,2022-06-03 20:40:05 UTC,P,,,2014-03-16,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,GAS_STATION,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Red Deer College,100 College Blvd,,Red Deer,AB,T4N 5H5,,403-357-3658,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,52.247192,-113.826849,2021-11-02,83966,2023-02-24 20:18:45 UTC,P,,,2014-07-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Regional Municipality of Wood Buffalo,200 Saprae Creek Trail,,Fort McMurray,AB,T9H 4P1,,780-743-7000 x1,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,56.657986,-111.338513,2021-12-13,83969,2022-11-04 20:38:36 UTC,P,,,2014-06-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Rosebud Country Inn,111 Severn Ave,,Rosebud,AB,T0J 2T0,,866-677-2211  403-677-2211,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,51.30036,-112.953493,2021-11-02,83987,2022-04-26 16:04:15 UTC,P,,,2014-09-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Half Hitch Brewing Co,10 Griffin Industrial Point,,Cochrane,AB,T4C 0A2,,403-605-0420,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,51.183526,-114.454406,2019-12-09,84034,2022-04-28 20:01:31 UTC,P,,,2016-05-15,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,Gratuit,,,,,,,,,true,,,,
ELEC,Southside Mitsubishi,9605 34th Ave N,,Edmonton,AB,T6E 5W8,,780-465-5252,E,,Public - Call ahead,"7am-5pm M-F, 9am-3pm Sat; For employee use only",,,,,,2,,,Non-Networked,,200-9,53.466578,-113.478755,2019-12-09,84038,2022-04-28 20:01:31 UTC,P,,,2017-02-01,,,,,J1772,CA,,"7:00-17:00 LUN- VEN, 9:00-15:00 SAM; Ã l'usage des clients seulement",,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,true,,,,
ELEC,St. Albert Business Centre,29 Sir Winston Churchill Ave,,St. Albert,AB,T8N 0G3,,780-459-1631,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,53.631006,-113.626907,2022-11-09,84066,2022-11-09 13:59:34 UTC,P,,,2013-02-15,,,,,J1772,CA,,24 heures tous les jours,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Town of Vulcan,110 1st Ave S,,Vulcan,AB,T0L 2B0,,403-485-4100,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,50.404603,-113.260226,2018-01-03,84090,2021-06-07 17:08:43 UTC,P,,,2016-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Main Street Hardware,4910 Broadway Ave,Located behind the store,Blackfalds,AB,T0M 0J0,,403-885-5886,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,52.378708,-113.795671,2022-04-13,84096,2022-06-07 13:03:30 UTC,P,,,2017-03-15,,,,,J1772,CA,Située derrière le magasin,Accessible 24 heures par jour,,Public,,public,,,HARDWARE_STORE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Wetaskiwin - City Hall,4705 50th Ave,,Wetaskiwin,AB,T9A 0R8,,780-361-4400,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,52.968526,-113.366743,2019-12-09,84120,2021-06-07 17:08:43 UTC,P,,,2013-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Best Western Plus Edmonton Airport Hotel,5705 50th St,,Leduc,AB,T9E 6Z8,,780-986-6550,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,53.271397,-113.550828,2022-04-13,84267,2022-11-02 19:38:22 UTC,P,,,2015-05-15,,,,,J1772,CA,,Accessible 24 heures par jour; réservé aux clients,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,
ELEC,IKEA,8000 11th St SE,,Calgary,AB,T2H 3B2,,403-538-2400,E,,Public,"10am-9pm M-Sat, 10am-6pm Sun",,,,,,4,,,Non-Networked,,200-9,50.979931,-114.044534,2019-12-09,84307,2021-06-07 17:08:43 UTC,P,,,2015-03-15,,,,,J1772,CA,,"10:00-21:00 LUN-SAM,10:00-18:00 DIM",,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Town of Canmore - Arts Place,950 8th Ave,,Canmore,AB,T1W 2T1,,403-678-1500,E,,Public,24 hours daily; no overnight stay,,,,,,1,,,Non-Networked,,200-9,51.089859,-115.362645,2021-12-13,84314,2022-04-26 16:04:15 UTC,P,,,2011-03-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Petro-Canada,5012 50th Ave,,Athabasca,AB,T9S 1H3,,780-675-7183,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,54.721039,-113.286875,2021-06-07,84334,2022-06-03 20:40:05 UTC,P,,,2017-02-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,GAS_STATION,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Hotel Blackfoot,5940 Blackfoot Trail SE,,Calgary,AB,T2H 2B5,,403-252-2253,E,,Public,24 hours daily; for guest use only,,,,,,2,,,Non-Networked,,200-9,51.000349,-114.047922,2021-11-02,84668,2022-04-28 20:01:31 UTC,P,,,2013-10-01,,,,,J1772,CA,,24 heures par jour; Des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,
ELEC,McClellan Wheaton Chevrolet Buick GMC,3850 48th Ave,,Camrose,AB,T4V 3Z8,,780-672-2355,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,53.018599,-112.805448,2021-11-02,84771,2022-04-26 16:04:15 UTC,P,,,2017-07-01,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
ELEC,Best Western Bonnyville Inn & Suites,5401 43rd St,,Bonnyville,AB,T9N 0H3,,780-826-6226,E,,Public,24 hours daily; See front desk for access,,,,,,1,,,Non-Networked,,200-9,54.271152,-110.722178,2021-11-02,84774,2022-04-28 20:01:31 UTC,P,,,2015-03-03,,,,,J1772,CA,,24 heures par jour; Voir la réception pour avoir accès,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,
ELEC,The Fairmont - Banff Springs,405 Spray Ave,,Banff,AB,T1L 1J4,,403-762-2211,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,1,,,Non-Networked,,200-8,51.163852,-115.562642,2021-12-13,84780,2023-02-20 21:06:46 UTC,P,,,2015-06-01,,,,,J1772,CA,,24 heures par jour; des clients seulement; pour avoir accÃ¨s consulter le valet de stationnement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,true,,,,
ELEC,Canmore Rocky Mountain Inn - Tesla Supercharger,1719 Bow Valley Trail,,Canmore,AB,T1W 1L7,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,4,,Tesla,https://www.tesla.com/supercharger,200-9,51.100208,-115.359179,2022-10-03,85030,2022-12-01 17:40:26 UTC,P,,,2015-03-01,,,,,TESLA,CA,,Accessible 24 heures par jour; à l'usage des modèles Tesla seulement,,Public,,public,,,HOTEL,,,,,,,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW,$0.44 par minute au-dessus de 60 kW et $0.22 par minute à 60 kW ou moins,,,,,,,,,,,,,
ELEC,BJ Teriyaki House & Waffles - Tesla Supercharger,2323 7 Ave,,Fort MacLeod,AB,T0L 0Z0,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,8,,Tesla,https://www.tesla.com/supercharger,200-8,49.724901,-113.397189,2022-10-03,85034,2022-12-01 17:40:26 UTC,P,,,2016-11-01,,,,,TESLA,CA,,Accessible 24 heures par jour; à l'usage des modèles Tesla seulement,,Public,,public,,,RESTAURANT,,,,,,,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW,$0.44 par minute au-dessus de 60 kW et $0.22 par minute à 60 kW ou moins,,,,,,,,,,,,,
ELEC,Sheraton Red Deer - Tesla Supercharger,3310 50 Avenue,,Red Deer,AB,T4N 3X9,,877-798-3752,E,,Public,24 hours daily; for Tesla use only,,,,,,,4,,Tesla,https://www.tesla.com/supercharger,200-8,52.251899,-113.814659,2022-10-03,85366,2022-12-01 17:40:26 UTC,P,,,2016-01-15,,,,,TESLA,CA,,Accessible 24 heures par jour; à l'usage des modèles Tesla seulement,,Public,,public,,,HOTEL,,,,,,,$0.44 per minute above 60 kW and $0.22 per minute at or below 60 kW,$0.44 par minute au-dessus de 60 kW et $0.22 par minute à 60 kW ou moins,,,,,,,,,,,,,
ELEC,Indigo Parking - Edmonton City Centre,10025 102A Ave NW,"West on 102A Ave, north side",Edmonton,AB,T5J 2Z2,,780-809-4615,E,,Public,24 hours daily; parking fee required,,,,,,2,,,Non-Networked,,GPS,53.5432818,-113.498579,2022-04-13,88666,2022-04-26 16:04:15 UTC,P,,,2017-10-31,,,,,J1772,CA,"Ouest sur 102A Ave, cotÃ© nord",24 heures par jour; frais de stationnement requis,,Public,,public,,,PAY_GARAGE,,,,,,,Free,Gratuit,,,,,,,,,false,,,,
