Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name
ELEC,O'Brien Nissan,2029 Ireland Grove Rd,,Bloomington,IL,61704,,309-664-1222,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.459154,-88.966191,2020-06-09,46799,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Monken Nissan - Centralia,1739 W McCord St,,Centralia,IL,62801,,618-545-5100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,38.533452,-89.172979,2020-06-09,46803,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Berman Nissan - Chicago,4444 W Irving Park Rd,,Chicago,IL,60641,,,E,,Public - Call ahead,Dealership business hours; contact 773-282-6200 for more information,,,,,,1,,,Non-Networked,,200-9,41.953751,-87.739697,2020-06-09,46806,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Continental Nissan,5750 S La Grange Rd,,Countryside,IL,60525,,708-352-9200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.78586,-87.8685,2020-06-09,46809,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Jim M'Lady Nissan,5656 Northwest Hwy,,Crystal Lake,IL,60014,,,E,,Public - Call ahead,Dealership business hours; contact 815-459-2288 for more information,,,,,,1,,,Non-Networked,,200-9,42.226647,-88.306745,2020-06-09,46811,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,
ELEC,Crown Nissan - Decatur,165 W Pershing Rd,,Decatur,IL,62526,,217-877-4440,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.876094,-88.959111,2020-06-09,46813,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Ken Nelson Auto Plaza,928 N Galena Ave,,Dixon,IL,61021,,815-288-4455,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.856583,-89.489398,2020-06-09,46815,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,
ELEC,Bill Kay's Nissan - Downers Grove,1601 Ogden Ave,,Downers Grove,IL,60515,,630-969-3200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.807887,-88.024848,2020-06-09,46817,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,McGrath Nissan,945 E Chicago St,,Elgin,IL,60120,,847-888-2030,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.033769,-88.255193,2020-06-09,46819,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,The Autobarn Nissan,1012 Chicago Ave,,Evanston,IL,60202,,847-475-8200,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.03616,-87.680149,2022-03-07,46821,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Galesburg Nissan,2080 N Henderson St,,Galesburg,IL,61401,,309-342-4121,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.973058,-90.383695,2020-06-09,46823,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,KANE COUNTY KANE COURTHOUSE,100 S 3rd St,,Geneva,IL,60134,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.886523,-88.309239,2023-04-02,46825,2023-04-02 00:03:08 UTC,,,,2012-04-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Glendale Nissan,484 North Ave,,Glendale Heights,IL,60139,,630-469-6100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.904021,-88.068043,2020-06-09,46826,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,
ELEC,Gerald Nissan - North Aurora,213 Hansen Blvd,,North Aurora,IL,60542,,630-907-0800,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,41.798401,-88.37177,2022-03-07,46832,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Nissan of St Charles,2535 E Main St,,St. Charles,IL,60174,,630-584-3900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.920486,-88.284011,2020-06-09,46837,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Advocate BroMenn Medical Center,610 W Virginia Ave,University and Virginia. Chargers located on the skywalk level (level 2) of the MedPark 6 parking garage. One has an accessible space.,Normal,IL,61761,,309-454-1400,E,,Public,24 hours daily; see front desk to access,,,,,,3,,,Non-Networked,,200-8,40.49813,-88.991628,2021-10-12,46994,2022-02-10 19:42:29 UTC,P,,,2012-05-26,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Martin Nissan,5240 Golf Rd,,Skokie,IL,60077,,847-965-3460,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.055712,-87.757895,2022-03-07,47133,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,
ELEC,Nissan of South Holland,16269 Van Dam Rd,,South Holland,IL,60473,,708-333-2000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.598505,-87.5824,2020-06-09,47135,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Green Nissan,4801 W Wabash Ave,,Springfield,IL,62711,,217-787-7620,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,39.757002,-89.740821,2020-06-09,47137,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Woodfield Nissan,700 W Higgins Rd,,Hoffman Estates,IL,60169,,847-310-1900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,42.050116,-88.097379,2020-06-09,47195,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Thomas Nissan - Joilet,1421 N Larkin Ave,,Joliet,IL,60435,,815-741-5353,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.548858,-88.12682,2020-06-09,47197,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Liberty Nissan,920 S Milwaukee Ave,,Libertyville,IL,60048,,847-680-8000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.271355,-87.949478,2020-06-09,47199,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Anderson Nissan,6555 E State St,,Rockford,IL,61108,,815-633-3460,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,42.267854,-88.98865,2020-06-09,47201,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Hawkinson Nissan,5513 Miller Cir Dr,,Matteson,IL,60443,,708-720-4800,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.505031,-87.748285,2020-06-09,47205,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,KC Summers Nissan,2404 Lake Land Blvd,,Mattoon,IL,61938,,217-235-4136,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.459697,-88.376824,2020-06-09,47207,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Al Piemonte Nissan,1600 W North Ave,,Melrose Park,IL,60160,,708-343-3800,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,41.907344,-87.854085,2022-03-07,47209,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Courtesy Car City,2301 39th Ave,,Moline,IL,61265,,309-764-6700,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.473755,-90.504579,2020-06-09,47211,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Gerald Nissan,1575 W Ogden Ave,,Naperville,IL,60540,,630-355-3337,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,41.766972,-88.187306,2022-03-07,47213,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Star Nissan,5757 W Touhy Ave,,Niles,IL,60714,,847-647-1555,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,42.01155,-87.771151,2022-03-07,47215,2023-02-14 15:54:11 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Kelly Nissan,4300 W 95th St,,Oak Lawn,IL,60453,,708-499-1000,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.720728,-87.728594,2020-06-09,47217,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Orland Park Nissan,8550 W 159th St,,Orland Park,IL,60462,,708-403-1300,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.602458,-87.827796,2020-06-09,47219,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Uftring Nissan,7400 N Allen Rd,,Peoria,IL,61614,,309-690-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.777601,-89.630469,2020-06-09,47221,2021-03-11 23:22:17 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,JP Motors,3675 Frontage Rd,,Peru,IL,61354,,815-223-7000,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,41.352942,-89.124734,2020-06-09,47223,2023-02-15 22:45:41 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Autocenters Nissan,1825 E Edwardsville Rd,,Wood River,IL,62095,,618-251-3000,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,38.857818,-90.067243,2022-02-10,47225,2022-02-10 19:42:29 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,City of Alton - City Hall,101 E 3rd St,,Alton,IL,62002,,618-463-3500,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,38.890647,-90.183944,2023-01-10,50464,2023-02-14 15:54:11 UTC,LG,,,2010-06-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,City of Bloomington - Lincoln Parking Deck,105 E Front,Corner East Street (Route 51  north) and Front Street,Bloomington,IL,61701,,309-434-2220,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,GPS,40.478605,-88.993139,2022-10-11,51267,2023-02-14 15:54:11 UTC,P,,,2012-11-01,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Vogler Motor Co,1170 E Main St,,Carbondale,IL,62901,,618-457-8135,E,,Public - Call ahead,Dealership business hours; contact in advance,,,,,,1,,,Non-Networked,,200-8,37.730396,-89.19403,2021-01-14,52071,2022-12-15 11:56:10 UTC,P,,,2013-04-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,Uptown Station Parking Deck,11 Uptown Cir,I-55 Exit 165; Located adjacent to Uptown Station,Normal,IL,61761,,309-454-9590,E,,Public,24 hours daily; pay lot,,,,,,5,,,Non-Networked,,GPS,40.508628,-88.984814,2022-10-11,52656,2023-02-14 15:54:11 UTC,P,,,2013-06-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,FVRC UNIT 1 CAROL STREAM PK,910 N Gary Ave,,Carol Stream,IL,60188,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.928005,-88.121847,2023-04-02,53088,2023-04-02 00:02:45 UTC,,,,2013-09-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,ABT ELECTRONICS ABT #1,1200 Milwaukee Ave,,Glenview,IL,60025,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.078903,-87.863167,2023-04-02,53412,2023-04-02 00:02:49 UTC,,,,2013-10-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Lewis & Clark Community College,5800 Godfrey Rd,"One station between Erickson Hall and the Nursing Building in the ""Cabin Lot."" The other station is between Riverbend Arena and the Math Building.",Godfrey,IL,62035,,618-468-2782,E,,Public,24 hours daily; visit security desk after normal business hours to use,,,,,,2,,,Non-Networked,,GPS,38.950131,-90.195222,2021-01-14,53413,2022-04-28 20:01:31 UTC,P,,,2012-07-01,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,true,,,,,
ELEC,CITYHPIL PORT CLINTON SQ,600 Central Ave,,Highland Park,IL,60035,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.184825,-87.799718,2023-04-02,53685,2023-04-02 00:02:52 UTC,,,,2013-11-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,VILLAGE STATION SEARLE PARKWAY,8156 Skokie Blvd,,Skokie,IL,60077,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.029866,-87.747938,2023-04-02,53687,2023-04-02 00:02:52 UTC,,,,2013-11-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Golf Mill Ford,9401 N Milwaukee Ave,,Niles,IL,60714,,847-470-9800,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,42.051495,-87.833913,2021-09-10,53859,2022-02-10 19:42:29 UTC,P,,,2013-01-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,
ELEC,LF CITY HALL CITY HALL LOT,220 E Deerpath Rd,,Lake Forest,IL,60045,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.251844,-87.842189,2023-04-02,55676,2023-04-02 00:02:52 UTC,,,,2013-12-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,JT JR COLLEGE STATION 01,Joliet Jr College,,Joliet,IL,60431,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.504261,-88.177527,2023-04-02,55815,2023-04-02 00:15:57 UTC,,,,2013-07-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,900 SELF PARK PLUG AND SHOP 2,911 N. Rush St.,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.89976,-87.626372,2023-04-02,56874,2023-04-02 00:12:12 UTC,,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,ASF-KEYSTONE AMSTED RAIL,1000-1080 Niedringhaus Ave,,Granite City,IL,62040,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.701351,-90.160186,2023-04-02,58291,2023-04-02 00:02:51 UTC,,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,EVSP WALGREENS STORE 15364,635 Chicago Ave,,Evanston,IL,60202,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.03007,-87.678149,2023-04-02,58325,2023-04-02 00:02:56 UTC,,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,3RD FLOOR GREENWAY-3,60 W Kinzie St,,Chicago,IL,60661,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.889356,-87.630403,2023-04-02,58326,2023-04-02 00:02:58 UTC,,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,"EVANSTON, IL MAPLE AV GARAGE",1810 Maple Ave,,Evanston,IL,60202,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.050171,-87.685127,2023-04-02,60165,2023-04-02 00:03:12 UTC,,,,2014-02-04,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,
